datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2000-01-03,0,100000,0,100000,0,1,0
2000-01-04,0,100000,0,100000,0,1,0
2000-01-05,0,100000,0,100000,0,1,0
2000-01-06,0,100000,0,100000,0,1,0
2000-01-07,0,100000,0,100000,0,1,0
2000-01-10,0,100000,0,100000,0,1,0
2000-01-11,0,100000,0,100000,0,1,0
2000-01-12,0,100000,0,100000,0,1,0
2000-01-13,515830000,-690670001.3,1.3,-174840001.3,-1749.400013,-1748.400013,1749.400013
2000-01-14,0,-174840002.6,2.6,-174840002.6,7.43536943126344E-09,-1748.400026,1749.400026
2000-01-18,0,-174840002.6,2.6,-174840002.6,0,-1748.400026,1749.400026
2000-01-19,615790000,-823690003.9,3.9,-207900003.9,0.189087170031876,-2079.000039,2080.000039
2000-01-20,580010000,-823690003.9,3.9,-243680003.9,0.172101968873508,-2436.800039,2437.800039
2000-01-21,624480000,-823690003.9,3.9,-199210003.9,-0.182493431091085,-1992.100039,1993.100039
2000-01-24,0,-199210005.2,5.2,-199210005.2,6.52577636373053E-09,-1992.100052,1993.100052
2000-01-25,0,-199210005.2,5.2,-199210005.2,0,-1992.100052,1993.100052
2000-01-26,515810000,-1193460006.5,6.5,-677650006.5,2.40168660615044,-6776.500065,6777.500065
2000-01-27,0,-677650007.8,7.8,-677650007.8,1.91839433227869E-09,-6776.500078,6777.500078
2000-01-28,0,-677650007.8,7.8,-677650007.8,0,-6776.500078,6777.500078
2000-01-31,1076870000,-1869270009.1,9.1,-792400009.1,0.169335202507468,-7924.000091,7925.000091
2000-02-01,0,-792400010.4,10.4,-792400010.4,1.64058544527279E-09,-7924.000104,7925.000104
2000-02-02,0,-792400010.4,10.4,-792400010.4,0,-7924.000104,7925.000104
2000-02-03,799750000,-1412990011.7,11.7,-613240011.7,-0.226097925730164,-6132.400117,6133.400117
2000-02-04,0,-613240013,13,-613240013,2.11988759879489E-09,-6132.40012999999,6133.40013
2000-02-07,0,-613240013,13,-613240013,0,-6132.40012999999,6133.40013
2000-02-08,0,-613240013,13,-613240013,0,-6132.40012999999,6133.40013
2000-02-09,0,-613240013,13,-613240013,0,-6132.40012999999,6133.40013
2000-02-10,0,-613240013,13,-613240013,0,-6132.40012999999,6133.40013
2000-02-11,984980000,-1282300014.3,14.3,-297320014.299999,-0.515165338208289,-2973.20014299999,2974.20014299999
2000-02-14,0,-297320015.599999,15.6,-297320015.599999,4.37239311423809E-09,-2973.20015599999,2974.20015599999
2000-02-15,1107830000,-1150200016.9,16.9,-42370016.8999994,-0.857493560214923,-423.700168999994,424.700168999994
2000-02-16,0,-42370018.1999993,18.2,-42370018.1999993,3.06820731044155E-08,-423.700181999994,424.700181999993
